"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"MT1IP",-0.718855569100065,5.81947352121373,-9.58585043015783,3.1012384463346e-18,2.81791927570966e-17,30.6054348216484,"down"
"CEP290",0.631884902284393,5.74495349367411,9.58396615598535,3.14065114325301e-18,2.85086616326812e-17,30.5929418555071,"up"
"PLD1",0.477002057816308,6.5678707389854,9.58039710338808,3.2166738790755e-18,2.9169456911456e-17,30.569281168112,"up"
"SLAIN1",-0.556753493102157,5.97863373085859,-9.57838957920418,3.26023639786606e-18,2.95348670071213e-17,30.555973957442,"down"
"LOC441081",-0.980934962135708,7.06160133817659,-9.58721995692912,3.27688956891456e-18,2.96263585925565e-17,30.5533370013587,"down"
"ERICH3",1.70516818865667,5.28743720502454,9.59457720249358,3.35590579244455e-18,3.02801839016878e-17,30.532497283306,"up"
"MFSD5",-0.492964950058474,6.28131776328988,-9.572738697085,3.38603331441375e-18,3.05215625080904e-17,30.5185218493178,"down"
"RGS13",0.862827115139491,5.71726297451108,9.57722132913596,3.40355529868925e-18,3.06489476647904e-17,30.5147340062054,"up"
"FFAR2",-0.770467731081045,4.21293380721582,-9.57249881866721,3.42193134970887e-18,3.07837625201173e-17,30.5084243881423,"down"
"GIPC2",0.618810108623853,6.6336235291847,9.57060841632022,3.4346991127442e-18,3.08679072349109e-17,30.5044052690072,"up"
"FAM83D",1.02883288799419,6.09744324302411,9.58136918872602,3.43959265836058e-18,3.08811889019245e-17,30.5057489871136,"up"
"OR2T12",-0.445273658974107,4.49880968851166,-9.56637356572733,3.53351832095954e-18,3.16929951783683e-17,30.4763460504614,"down"
"ACSL1",-0.866390430354025,8.72738649183068,-9.57004741569668,3.57644292416351e-18,3.20462046356415e-17,30.4657771358612,"down"
"ADAMTSL4-AS1",-0.594464695233291,5.14968211800409,-9.56354365924881,3.60112404677327e-18,3.22354084226507e-17,30.4575983392781,"down"
"APOH",-0.739056519363803,4.26991570918754,-9.55714212598961,3.77281604241131e-18,3.3738901918339e-17,30.4116645665294,"down"
"FDPS",-0.478567869894262,7.11041536388243,-9.55196457276053,3.89140455446097e-18,3.47306896119266e-17,30.3809107353721,"down"
"ARAP3",-0.531046906287837,6.38684302806296,-9.54624537178443,4.04324903342704e-18,3.605031016885e-17,30.3430459539903,"down"
"SERPIND1",1.04879242429506,5.22089495925178,9.55668468318339,4.06813672946824e-18,3.62364770158841e-17,30.3398342547682,"up"
"GABARAPL1",-0.535309188695706,7.22661117960261,-9.54359271818464,4.11566265563766e-18,3.66237264464765e-17,30.3254866417342,"down"
"BMP5",0.839514575309615,7.16329140261626,9.54571369645596,4.17489152524294e-18,3.7114251995793e-17,30.3124255238314,"up"
"WNT5A",0.543890938096409,6.27674125266277,9.53879652963735,4.24988036585642e-18,3.77437803415599e-17,30.2937429054758,"up"
"PER1",-0.878477631838772,6.96320709637259,-9.54266119048131,4.31410343781048e-18,3.8276554643027e-17,30.2804465641811,"down"
"ASPA",0.731936368462793,5.44918767103713,9.53642555000168,4.32322583505227e-18,3.8319887034027e-17,30.2768642811949,"up"
